epoch,split,loss,masked_mse
1,train,0.8369315130233764,0.8369315130233764
1,val,0.8329517430067063,0.8329517430067063
2,train,0.829421593952179,0.829421593952179
2,val,0.828944895863533,0.828944895863533
3,train,0.8285319568634033,0.8285319568634033
3,val,0.8307860171794892,0.8307860171794892
4,train,0.8277546360969543,0.8277546360969543
4,val,0.8297611439228058,0.8297611439228058
5,train,0.8292098558425903,0.8292098558425903
5,val,0.8278616017103195,0.8278616017103195
6,train,0.8295352338790893,0.8295352338790893
6,val,0.8241916424036027,0.8241916424036027
