epoch,split,loss,masked_mse
1,train,0.999493103146553,0.999493103146553
1,val,0.950759146809578,0.950759146809578
2,train,0.9943181280493736,0.9943181280493736
2,val,0.9531364297866821,0.9531364297866821
3,train,0.9934745610952377,0.9934745610952377
3,val,0.9523611092567443,0.9523611092567443
4,train,0.9938558596372604,0.9938558596372604
4,val,0.9527710711956024,0.9527710711956024
5,train,0.993653296649456,0.993653296649456
5,val,0.9538690799474716,0.9538690799474716
6,train,0.9955428215265274,0.9955428215265274
6,val,0.9489244467020035,0.9489244467020035
7,train,0.9918910191059113,0.9918910191059113
7,val,0.9483459514379501,0.9483459514379501
8,train,1.0046626089215278,1.0046626089215278
8,val,0.9627922761440277,0.9627922761440277
9,train,1.0099596025943756,1.0099596025943756
9,val,0.9607420754432678,0.9607420754432678
10,train,1.0106194707155227,1.0106194707155227
10,val,0.9581601971387863,0.9581601971387863
