epoch,split,loss,masked_mse
1,train,0.664683175444603,0.664683175444603
1,val,0.5904987186193467,0.5904987186193467
2,train,0.6577305127382278,0.6577305127382278
2,val,0.5838244080543518,0.5838244080543518
3,train,0.6572182882428169,0.6572182882428169
3,val,0.5888296681642532,0.5888296681642532
4,train,0.6563454700112343,0.6563454700112343
4,val,0.5851768213510513,0.5851768213510513
5,train,0.6569696983098984,0.6569696983098984
5,val,0.5876669043302536,0.5876669043302536
6,train,0.6563350455164909,0.6563350455164909
6,val,0.5862219351530075,0.5862219351530075
7,train,0.6560719164013863,0.6560719164013863
7,val,0.5835307306051254,0.5835307306051254
8,train,0.656275288105011,0.656275288105011
8,val,0.5826906841993332,0.5826906841993332
9,train,0.656817591547966,0.656817591547966
9,val,0.5907730394601822,0.5907730394601822
10,train,0.6566904433369637,0.6566904433369637
10,val,0.5837833726406098,0.5837833726406098
11,train,0.6556452085971832,0.6556452085971832
11,val,0.5833873909711838,0.5833873909711838
12,train,0.6546468782424927,0.6546468782424927
12,val,0.5881060308218002,0.5881060308218002
13,train,0.654677144229412,0.654677144229412
13,val,0.5861439001560211,0.5861439001560211
14,train,0.6552490106821061,0.6552490106821061
14,val,0.5891174679994583,0.5891174679994583
15,train,0.6557883855700493,0.6557883855700493
15,val,0.5892389565706253,0.5892389565706253
16,train,0.973205320596695,0.973205320596695
16,val,0.9947851729393006,0.9947851729393006
17,train,1.088652580499649,1.088652580499649
17,val,0.9979697442054749,0.9979697442054749
